id_gephi,description_n4_eng,x,y,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,closeness,eigenvector,weight,betweenness,group_eng,lat,node
300,Tibasosa,29.75447273,1.58480072,3,Zone 3,16,43,-73.00003,0.227227368,247003.8,106,10624,0.145833333,0.490434951,14602,1.90E-04, Boyaca,5.73332,231
301,Caldas,14.65634632,-1.549789429,3,Zone 3,15,42,-73.865089,0.2360822,88799.3,106,10695,0.155948807,0.386290944,3471,0.002058544, Boyaca,5.554592,302
314,Paipa,27.75266838,2.399612427,3,Zone 3,16,62,-73.114725,0.25253227,498027.6,106,10616,0.157315907,0.735215717,31868,0.004938988, Boyaca,5.77977,223
326,Toca,26.52524757,-1.342712402,3,Zone 3,16,52,-73.185051,0.24283397,185470.1,106,10633,0.154726446,0.642987295,9961,9.76E-04, Boyaca,5.566401,240
327,Siachoque,25.48183632,-2.303512573,3,Zone 3,16,53,-73.244834,0.24712869,190971.4,106,10639,0.156915739,0.68793833,8973,0.001339133, Boyaca,5.511608,246
328,Belen,31.31376839,6.077728271,3,Zone 3,16,41,-72.910689,0.22646142,122120.9,106,10651,0.144277152,0.399060105,6820,0.024116733, Boyaca,5.9894,258
331,Chivata,24.82250404,-1.48210144,3,Zone 3,16,67,-73.282611,0.256523441,227135.2,106,10654,0.157466496,0.815174246,6717,0.004712659, Boyaca,5.558452,261
332,Tinjaca,18.45940018,-1.127243042,3,Zone 3,15,54,-73.64719,0.24307871,97130.9,106,106101,0.156592099,0.63346095,3045,0.001222767, Boyaca,5.578688,308
336,Cogua,12.71346283,-10.19750214,3,Zone 3,15,54,-73.976408,0.25940449,532362.8,114,11434,0.163086583,0.636244187,24092,0.003642576, Cundinamarca,5.061241,537
337,Nemocon,14.38395214,-10.09713745,3,Zone 3,16,62,-73.880696,0.260887148,433143.7,114,11452,0.159090909,0.762378975,14356,0.003561191, Cundinamarca,5.066969,555
345,Pesca,28.87131882,-1.47454834,3,Zone 3,16,29,-73.050631,0.209115285,102975.5,106,10646,0.141242129,0.304269339,7374,2.01E-05, Boyaca,5.558883,253
346,Iza,30.10512733,-0.495544434,3,Zone 3,16,31,-72.979939,0.215900718,54891.2,106,106113,0.142795139,0.335414538,2440,4.24E-05, Boyaca,5.614709,320
354,Nuevo Colon,21.77217484,-5.051544189,3,Zone 3,16,63,-73.457382,0.25387231,208671.2,106,10653,0.157265774,0.820067694,6729,0.002246506, Boyaca,5.354865,260
