id_gephi,node,description_n4_eng,x,y,,modularity,mod_label,eccentricity,degree,lon,h_closeness,w_degree,cod_p,cod_p1,component,closeness,eigenvector,weight,clustering,betweenness,group_eng,region_2,lat
236,272,El Cobre,-123.4067871,-80.22085572,-190.4417114,2,Zone 2,16,16,-72.0615269,0.22655508,76597.9,120,12023,0,0.14849075,0.027668762,9879,0.666666667,0.00294266,Tachira,Jose Maria Vargas,8.0270673
239,273,Rubio,-132.8059204,-91.78625488,-213.5725098,2,Zone 2,15,15,-72.3607108,0.21579003,454897.1,120,12024,0,0.148853099,0.024770296,80680,0.838095238,1.26E-04,Tachira,Junin,7.6988579
182,274,Capacho Viejo,-131.6044968,-87.43270874,-204.8654175,2,Zone 2,15,17,-72.3224683,0.230661224,324311.6,120,12025,0,0.153497735,0.03057382,27547,0.823529412,3.99E-04,Tachira,Libertad,7.8224355
149,275,Abejales,-106.2689324,-94.25836182,-218.5167236,2,Zone 2,14,9,-71.5160122,0.23805829,100729.9,120,12026,0,0.178154206,0.010339187,22464,0.472222222,0.054468581,Tachira,Libertador,7.6286704
48,174,Merida,-95.72847061,-61.0744934,-152.1489868,2,Zone 2,15,11,-71.1804988,0.23497487,507116.6,114,11422,0,0.164954029,0.013126551,217537,0.745454545,0.001889981,Merida,Libertador,8.5698244
38,276,Lobatera,-129.2254898,-83.64007568,-197.2801514,2,Zone 2,15,21,-72.2467421,0.242901661,228530.2,120,12027,0,0.154979675,0.036329772,13558,0.676190476,0.003330791,Tachira,Lobatera,7.9300616
103,277,Michelena,-129.1789764,-82.67532348,-195.350647,2,Zone 2,15,21,-72.2452617,0.242901661,263292.6,120,12028,0,0.154979675,0.036329772,19547,0.676190476,0.003330791,Tachira,Michelena,7.9574344
171,176,Santa Elena de Arenales,-104.6371948,-52.25906372,-134.5181274,2,Zone 2,15,18,-71.4640724,0.267243694,202528.3,114,11424,0,0.175086108,0.026118003,24774,0.470588235,0.040173958,Merida,Obispo Ramos de Lora,8.819466
148,177,Santa Maria de Caparo,-104.6906433,-91.2084961,-212.4169922,2,Zone 2,14,4,-71.4657737,0.200028178,13422,114,11425,0,0.159019812,0.003176555,3188,1,0,Merida,Padre Noguera,7.7152601
310,42,Guasdualito,-80.78872604,-107.9482727,-245.8965454,2,Zone 2,15,1,-70.704952,0.165129088,9630.3,103,10315,0,0.138952164,5.40E-04,100125,0,0,Apure,Paez,7.2397806
139,278,Coloncito,-124.3263977,-69.66696166,-169.3339233,2,Zone 2,16,25,-72.0907994,0.257578783,313137.1,120,12029,0,0.157054583,0.039871786,32180,0.463333333,0.01623381,Tachira,Panamericano,8.3263397
105,279,Urena,-135.4089386,-83.93728638,-197.8745728,2,Zone 2,16,17,-72.4435674,0.225298249,327127.4,120,12030,0,0.14813016,0.030926457,51879,0.867647059,1.76E-04,Tachira,Pedro Maria Urena,7.9216285
304,280,Delicias,-135.4554108,-96.38360596,-222.7672119,2,Zone 2,16,4,-72.4450467,0.187221226,13430.1,120,12031,0,0.141794514,0.006508219,5905,0.833333333,8.94E-07,Tachira,Rafael Urdaneta,7.5683211
261,179,Mucuchies,-87.56034165,-54.73269654,-139.4653931,2,Zone 2,14,6,-70.9204993,0.239162895,51059,114,11427,0,0.181872391,0.005173915,19008,0.4,0.007411449,Merida,Rangel,8.7494328
112,180,Bailadores,-116.0075501,-72.13482666,-174.2696533,2,Zone 2,16,14,-71.8260021,0.228891559,140372,114,11428,0,0.152729094,0.018437912,20128,0.571428571,0.001110068,Merida,Rivas Davila,8.2563795
230,281,La Tendida,-116.1472687,-63.37734986,-156.7546997,2,Zone 2,16,21,-71.8304496,0.252059657,181819.2,120,12032,0,0.156651258,0.031534385,17911,0.471428571,0.010214072,Tachira,Samuel Dario Maldonado,8.5045834
132,282,San Cristobal,-128.5784637,-89.23233032,-208.4646606,2,Zone 2,15,20,-72.2261466,0.247332167,708204,120,12033,0,0.164686825,0.033106311,263765,0.663157895,0.012668727,Tachira,San Cristobal,7.7713572
165,283,Umuquena,-123.4565689,-71.74710084,-173.4942017,2,Zone 2,16,22,-72.0631118,0.246760412,99579.3,120,12034,0,0.154508612,0.035980869,7649,0.523809524,0.002484319,Tachira,San Judas Tadeo,8.2673715
240,181,Tabay,-92.18180237,-58.86810302,-147.736206,2,Zone 2,14,7,-71.067605,0.239303411,83817.2,114,11429,0,0.180794309,0.006975738,18037,0.619047619,0.016829291,Merida,Santos Marquina,8.6323221
134,284,Seboruco,-123.7501373,-76.04040528,-182.0808106,2,Zone 2,16,17,-72.0724562,0.230708085,109807,120,12035,0,0.149144254,0.02806574,10243,0.610294118,0.002610817,Tachira,Seboruco,8.1456376
150,285,San Simon,-116.8190414,-68.83834838,-167.6766968,2,Zone 2,16,14,-71.8518326,0.235229056,27065.3,120,12036,0,0.155058465,0.021867355,2445,0.659340659,0.002622906,Tachira,Simon Rodriguez,8.349827
111,286,Queniquea,-121.9672348,-84.09051514,-198.1810303,2,Zone 2,17,2,-72.0157046,0.16385372,10349.1,120,12037,0,0.123083132,0.001876676,7320,1,0,Tachira,Sucre,7.9172808
215,182,Lagunillas,-102.5388954,-63.37911988,-156.7582398,2,Zone 2,15,12,-71.3972815,0.235521318,291151.5,114,11430,0,0.164864865,0.014833497,55840,0.772727273,8.91E-04,Merida,Sucre,8.5045334
127,287,San Josecito,-128.4348038,-93.18560792,-216.3712158,2,Zone 2,15,17,-72.2215739,0.237027717,510804.1,120,12038,0,0.162147794,0.027614891,49577,0.75,0.007146827,Tachira,Torbes,7.6591294
113,183,Tovar,-113.911496,-69.6107483,-169.2214966,2,Zone 2,16,13,-71.7592825,0.232879329,347055.4,114,11431,0,0.154822335,0.017130658,113447,0.705128205,0.002135377,Merida,Tovar,8.3279334
264,74,Santa Barbara,-95.56066818,-87.72970582,-205.4594116,2,Zone 2,13,6,-71.1751576,0.231127825,96053.3,105,10522,0,0.180901542,0.004619502,53580,0.533333333,0.03289235,Barinas,Zamora,7.8140067
120,185,Zea,-114.7033905,-67.76434326,-165.5286865,2,Zone 2,16,17,-71.7844893,0.240966761,121515.3,114,11433,0,0.155453619,0.023606495,11162,0.588235294,0.003027697,Merida,Zea,8.3802672
220,123,Chichiriviche,-4.521396733,22.73849488,15.47698976,3,Zone 3,11,26,-68.2772875,0.341027961,222496.2,111,11120,0,0.235885538,0.365309251,19300,0.701538462,0.004626882,Falcon,Iturriza,10.9360102
201,127,Yaracal,-12.95011969,24.01080322,18.02160644,3,Zone 3,11,28,-68.5455821,0.348568945,169699.1,111,11124,0,0.238841034,0.367768119,10874,0.624338624,0.047834119,Falcon,Manaure,10.9717949
